,Locus,Occurances in Chromosome 19
848,PSMC4,8
849,PSMD8,1
850,PSPN,1
851,PTBP1,5
852,PTGER1,1
853,PTGIR,3
854,PTH2,1
855,PTOV1,14
856,PTPRH,14
857,PTPRS,23
858,PVR,4
859,PWWP3A,14
860,QPCTL,4
861,QTRT1,1
862,R3HDM4,4
863,RAB11B,1
864,RAB3A,2
865,RAB3D,1
866,RAB4B,1
867,RAB8A,1
868,RABAC1,1
869,RAD23A,4
870,RANBP3,10
871,RASAL3,7
872,RASGRP4,7
873,RASIP1,6
874,RAVER1,2
875,RAX2,2
876,RBM42,2
877,RCN3,2
878,RDH13,135
879,RDH8,1
880,REEP6,2
881,RELB,3
882,RETN,2
883,REX1BD,3
884,REXO1,6
885,RFPL4A,2
886,RFPL4AL1,1
887,RFX1,10
888,RFX2,4
889,RFXANK,13
890,RGL3,2
891,RGS9BP,1
892,RHPN2,1
893,RINL,13
894,RLN3,8
895,RNASEH2A,2
896,RNF126,2
897,RNF225,1
898,RPL13A,2
899,RPL18,2
900,RPL18A,1
901,RPL28,6
902,RPL36,2
903,RPS11,1
904,RPS15,2
905,RPS16,3
906,RPS19,5
907,RPS28,1
908,RPS5,1
909,RPS9,385
910,RPSAP58,2
911,RRAS,1
912,RSPH6A,2
913,RTBDN,16
914,RTN2,3
915,RUVBL2,4
916,RYR1,5
917,S1PR2,1
918,S1PR4,1
919,S1PR5,2
920,SAE1,3
921,SAFB,11
922,SAFB2,10
923,SAMD1,4
924,SAMD4B,14
925,SARS2,8
926,SBK2,2
927,SBK3,2
928,SBNO2,9
929,SBSN,6
930,SCAF1,4
931,SCAMP4,3
932,SCGB2B2,1
933,SCN1B,3
934,SDHAF1,1
935,SELENOV,2
936,SELENOW,1
937,SEMA6B,4
938,SERTAD1,1
939,SERTAD3,4
940,SF3A2,1
941,SGTA,2
942,SH2D3A,8
943,SH3GL1,5
944,SHANK1,3
945,SHC2,5
946,SHD,2
947,SHFL,4
948,SHISA7,1
949,SHKBP1,7
950,SIGLEC10,9
951,SIGLEC11,4
952,SIGLEC12,4
953,SIGLEC14,2
954,SIGLEC16,1
955,SIGLEC5,3
956,SIGLEC6,14
957,SIGLEC7,4
958,SIGLEC8,3
959,SIGLEC9,7
960,SIGLECL1,5
961,SIN3B,4
962,SIPA1L3,4
963,SIRT2,16
964,SIRT6,11
965,SIX5,1
966,SLC17A7,1
967,SLC1A5,3
968,SLC1A6,6
969,SLC25A23,21
970,SLC25A41,3
971,SLC25A42,5
972,SLC27A1,6
973,SLC27A5,4
974,SLC35E1,1
